Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,ArtistId,StageName,SpotifyUrl,Biography,CityOfOrigin,CountryOfOrigin,CurrentLocation,ExperienceLevel,YearsOfExperience,HasRecordLabel,RecordLabelId,HasAgent,AgentId,HasManager,ManagerId,IsResidentDJ,ResidentLocation,HourlyRate,SelectedCountries,ExtraInformation,CurrencyId,HourlyFeeRange,EquipmentUsed,EquipmentRequired,TechnicalRider,Rider,OtherRequirements,ManagementAgent
218,t,f,2026-05-23 05:43:10.457237+00,2026-05-23 05:43:10.457237+00,,254,Tank Girl  /Melodic Muse/ Dre’Ama ,,"Tank Girl is a renowned Techno DJ celebrated for her powerful, high-energy performances and distinctive sound. Specializing in Full-On Peak Time and Driving Techno, she is known for delivering pounding basslines, hypnotic grooves, and seductive vocal elements that ignite dance floors and captivate crowds.

With an impressive 21 years behind the decks, Tank Girl has established herself as a dynamic and influential force within the electronic music scene. Her journey into electronic music began in the psy trance scene before evolving into techno in 2008, where she found her passion for harder, driving sounds and launched her techno project. This evolution allowed her to craft a unique style that seamlessly blends intensity, emotion, and raw underground energy.

Tank Girl has mastered the art of taking audiences on an unforgettable sonic journey. Her sets fuse powerful rhythms, atmospheric melodies, and relentless energy, creating immersive experiences that leave a lasting impact long after the music stops.

Known for her commanding stage presence and ability to connect deeply with the crowd, Tank Girl continues to push boundaries and bring authentic underground techno energy to every performance.",Randburg ,365,Gauteng ,,21,f,,f,,f,,t,"Teknotribe, Psy.Ology",,,,0,,,,,,,
217,t,f,2026-05-20 06:21:15.263768+00,2026-05-20 06:21:15.263768+00,,253,thera.pri,,,Johannesburg ,365,"",,3,f,,f,,t,Gert Botes,t,The Temple ( South African Hard Techno events),,,,0,,,,,,,
169,t,f,2026-01-31 15:07:39.161072+00,2026-01-31 15:07:39.161072+00,,201,SLAVA,,"Slava Presnyakov was Born in Ukraine, raised in The Netherlands. Conservatory-trained pianist (Conservatory of Amsterdam Master of Music 2010). Producer & DJ with releases on labels including Iboga Records, Ibogatech, Synk87, Alien Records and more. My coaching bridges classical musicianship with modern production: fast, practical, and musically deep.


Performed 750+ concerts over the world. Including classical music, pop & electronic. Won several 1st prizes at national Piano competitions.
Over 30 releases with major electronic music labels.
25+ years of music related experience. Worked on YouTube channels reaching 2.5M+ subscribers and 500M+ views.
Bachelor's & Master's degree on classical piano.",Amsterdam ,348,Amsterdam ,,10,f,,f,,f,,f,,,,,0,,,,,,,
211,t,f,2026-05-09 07:32:52.89185+00,2026-05-09 07:32:52.89185+00,,247,Keleo,,"Keleo, born Leonard Slabbinck, is a rising star in Europe’s electronic music scene, known for his high-energy, emotive sets and signature concept A Trip 2 Euphoria. 

The artist gained early attention with euphoric renditions of Adele’s “Set Fire to the Rain” and “Belong Together”, leading to the creation of a dedicated fanbase spanning 4 continents. In 2024, Keleo made his London debut at Ministry of Sound, leading to more shows throughout that & the following year. 

2025 has started off strong, gaining radio support in over 4 countries, signing with Berklee-graduate founded Vocal Aura, receiving ongoing mentorship from Danny Whittle, under the IMS mentorship programme, and recently getting his first official remix opportunity for ALLERTZ. Currently signed with one of South Africa’s most accomplished Artist Managers, Keleo’s future as an internationally-acclaimed act is looking bright.",Antwerp,318,Antwerp,,7,f,,t,Stijn Vanpoucke,f,,f,,,,,2,200,"CDJ-3000NXS or CDJ-2000 NXS 2
RMX-1000
DJM-900NXS or above
XDJ-XZ (if necessary)","DJM-900NXS mixer (or higher)
Wireless microphone
min. 2x CDJ-3000 NXS
RMX-1000",,"-  Food and drinks (2x bottles of Coca Cola) 
- Towels
- Transportation fee incl.","",Stijn Vanpoucke
221,t,f,2026-06-02 14:55:42.375092+00,2026-06-02 14:55:42.375092+00,,257,Bunker,,"Bunker, from Italy🇮🇹 is a Dj / Producer who is bringing a new style of electronic music, fusing different sounds from the Techno, Hardstyle and Bounce genres. His career was born in the summer of 2023 and after about a year he made his debut with his track “I NEED MORE” and got noticed with several collaborations with successful artists and record labels in the Hard Techno world.",Roma,337,"",,3,f,,f,,f,,f,,,,,0,,,,,,,
115,t,f,2025-11-07 14:18:06.179893+00,2025-11-07 14:18:06.179893+00,,147,Carl Haze,,Carl Haze is a Vienna based techno artist known for dark hypnotic grooves and emotionally charged energy on the dancefloor. His productions blend melodic tension with driving rhythm creating powerful moments built for peak time movement. Supported by leading names in the scene his sound continues to evolve as he steps deeper into Europe’s underground circuit.,Vienna,316,Vienna,,4,f,,f,,f,,f,,,,,2,300,"Pioneer CDJ USB DJ Setup
USB Drives (Artist-provided)
Optional: Personal headphones","Minimum Required Standard Pioneer Club Setup:
2 × Pioneer CDJ-3000 (or CDJ-2000NXS2 acceptable)
1 × Pioneer DJM-900NXS2 (or DJM-V10 acceptable)
High-quality booth monitors with dedicated volume control
Stable table/platform (no vibration)
2 × Power sockets within booth area
1 × XLR / Master Out clean signal to FOH
No substitutes lower than CDJ-2000NXS2.","Professional booth monitor system aimed toward performer
Mixer and players must be fully functional, firmware up to date
USB input ports must be working + Rekordbox compatibility
No drinks placed directly near mixer or DJ equipment
FOH must ensure clean audio signal, no clipping
15–30 min sound check preferred whenever possible","Still water (room temperature)
2–4 Sugar-free energy or isotonic drinks (e.g., Red Bull Zero / Aquarius Zero)
2 Protein bars or similar light snacks
2 medium-size towels","Access to backstage or secure changing area
Transport/arrival coordination via WhatsApp or email prior to event
If flights required: carry-on luggage only unless otherwise agreed",Independent
220,t,f,2026-05-31 15:32:55.337849+00,2026-05-31 15:32:55.337849+00,,256,TFA,,,Wiesbaden,328,"",,2,f,,f,,f,,f,,,,,0,,,,,,,
99,t,f,2025-11-03 12:36:23.924188+00,2025-11-03 12:36:23.924188+00,,132,Erik Scuka,,"Erik Scuka is an emerging DJ and producer shaping a new wave of progressive house and EDM. With a strong focus on emotion, energy, and storytelling, his sound blends modern festival power with the nostalgic essence of the golden era of electronic music.

After years behind the decks and stepping into music production in 2025, Erik is quickly building his identity through dynamic DJ sets and original productions. His performances are driven by connection—creating moments where people and music come together as one.

As the creator of Horizon, a concept built around immersive musical experiences, Erik aims to go beyond the standard event, delivering a journey that reflects his artistic vision and passion for electronic music.

With a clear ambition to grow within the global EDM scene, Erik Scuka is focused on developing a unique sound and leaving a lasting impact on every stage he steps on.",Trieste,337,Trieste,,3,f,,f,,f,,f,,,,,2,30,Pioneer DDJ-400,Pioneer CDJ-2000 NXS2 or higher,"No additional specifications listed.
Performs via USB Rekordbox or controller setup.",No specifications listed.,"No specifications listed.
",Independent artist
222,t,f,2026-06-03 14:06:21.481568+00,2026-06-03 14:06:21.481568+00,,258,D1Merlon,,"Gravitating mainly toward Groove Techno, psy & House, D1 Merlon enjoys diving into the many hypnotic sub-genres that exist within them. He finds inspiration in the idea of not having a ""sound"" at all. For him, the freedom to move between moods, genres, and influences is what keeps the music exciting. Each set becomes a reflection of the moment — shaped by the crowd, the environment, and the ever-changing sounds of the South African underground.",Johannesburg,365,JHB,,1,f,,f,,f,,f,,,,,0,,,,,,,
223,t,f,2026-06-04 16:40:57.207813+00,2026-06-04 16:40:57.207813+00,,259,FROGR,,"FROGR was born in late 2024 as the bouncy new alias of the Dutch DJ known as Orbyte. Leaving the pond with a leap of pure passion, FROGR channels the golden age of rave blending euphoric trance, scratching hardhouse, and raw eurorave into a sound that he calls “frog rave”.

Inspired by the 90s and 00s, FROGR acts as a kind of musical journalist, digging deep into the archives to revive forgotten gems and timeless anthems and sounds, reshaping them for today’s dancefloors. These sounds inspired him to create his own music in which he upgrades his sets a bit further. His sets are fast-paced journeys at 145 BPM, designed to make crowds smile, jump, and lose themselves in the euphoria of classic rave culture.

Since his debut, FROGR has made an explosive entrance onto the international stage. From London’s underground clubs, starting at Fusion in Basing House and later closing the night at EGG and XOYO after Jorn van Deynhoven and Ruben de Ronde to appearances at Amsterdam Dance Event and High Voltage Recordings label nights, FROGR has proven his ability to captivate audiences with pure rave energy. 

What began as a small alias has already grown into a movement: one that reconnects people to the roots of dance music while giving it a fresh, unstoppable drive. With goosebumps, adrenaline, and tears of joy on the dancefloor; FROGR is here to make the world GET FROGD!
",Mijdrecht,348,Amsterdam,,5,f,,f,,f,,t,"Time 4 Trance radio, AAA Events",,,,0,,,,,,,
